"eol_id","Taxa category","Latin name","Italian common name","Florae url ","Acta planctorum url","Floritaly url"
"5609641","Specie","Thesium divaricatum","Linaiola divaricata","https://www.florae.it/?id=6726","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"2872639","Specie","Thesium arvense","Linaria dei campi","https://www.florae.it/?id=6725","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"5609727","Specie","Thesium humile","Linaiola umile","https://www.florae.it/?id=6721","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"5609904","Specie","Thesium rostratum","Linaiola rostrata","https://www.florae.it/?id=6720","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"61368","Genere","Thesium","Linaiola","https://www.florae.it/?id=6719","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"5610481","Specie","Osyris alba","Ginestrella comune","https://www.florae.it/?id=6718","http://www.actaplantarum.org/flora/flora_info.php?id=5598","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=310"
"594607","Specie","Parietaria diffusa","Vetriola minore","https://www.florae.it/?id=6716","http://www.actaplantarum.org/flora/flora_info.php?id=5676","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=305"
"594856","Specie","Parietaria officinalis","Vetriola comune","https://www.florae.it/?id=6715","http://www.actaplantarum.org/flora/flora_info.php?id=5679","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=304"
"2885406","Specie","Parietaria lusitanica","Vetriola lusitanica","https://www.florae.it/?id=6713","http://www.actaplantarum.org/flora/flora_info.php?id=5677","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=306"
"595063","Specie","Urtica dioica","Ortica comune","https://www.florae.it/?id=6710","http://www.actaplantarum.org/flora/flora_info.php?id=8053","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=9536"
"596217","Specie","Urtica urens","Ortica minore","https://www.florae.it/?id=6709","http://www.actaplantarum.org/flora/flora_info.php?id=8057","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=300"
"2885404","Specie","Urtica pilulifera","Ortica a campanelli","https://www.florae.it/?id=6708","http://www.actaplantarum.org/flora/flora_info.php?id=8055","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=302"
"5723338","Specie","Urtica membranacea","Ortica membranosa","https://www.florae.it/?id=6707","http://www.actaplantarum.org/flora/flora_info.php?id=8054","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=301"
"5723237","Specie","Urtica atrovirens","Ortica verde-scura","https://www.florae.it/?id=6706","http://www.actaplantarum.org/flora/flora_info.php?id=8052","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=297"
"594795","Specie","Boehmeria nivea","Ramié; Ortica argentata","https://www.florae.it/?id=6705","http://www.actaplantarum.org/flora/flora_info.php?id=1252","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=303"
"72658","Genere","Parietaria","Vetriola","https://www.florae.it/?id=6704",NULL,NULL
"594937","Specie","Soleirolia soleirolii","Vetriola di Soleirol","https://www.florae.it/?id=6703","http://www.actaplantarum.org/flora/flora_info.php?id=7394","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=309"
"38080","Genere","Urtica","Ortica","https://www.florae.it/?id=6702",NULL,NULL
"10458707","Specie","Humulus scandens","Luppolo del Giappone","https://www.florae.it/?id=6701","http://www.actaplantarum.org/flora/flora_info.php?id=4088","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=295"
"595013","Specie","Humulus lupulus","Luppolo comune","https://www.florae.it/?id=6700","http://www.actaplantarum.org/flora/flora_info.php?id=4089","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=294"
"46326109","Specie","Cannabis sativa","Canapa comune","https://www.florae.it/?id=6699","http://www.actaplantarum.org/flora/flora_info.php?id=1553","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=296"
"61336","Genere","Humulus","Luppolo","https://www.florae.it/?id=6698",NULL,NULL
"46323169","Specie","Morus alba","Gelso comune; Moro bianco","https://www.florae.it/?id=6697","http://www.actaplantarum.org/flora/flora_info.php?id=5195","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=290"
"596202","Specie","Morus nigra","Gelso nero; Moro nero","https://www.florae.it/?id=6696","http://www.actaplantarum.org/flora/flora_info.php?id=5196","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=291"
"594618","Specie","Maclura pomifera","Maclura pomifera","https://www.florae.it/?id=6695","http://www.actaplantarum.org/flora/flora_info.php?id=4928","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=292"
"104263","Genere","Morus","Gelso","https://www.florae.it/?id=6694",NULL,NULL
"594938","Specie","Broussonetia papyrifera","Gelso da carta","https://www.florae.it/?id=6693","http://www.actaplantarum.org/flora/flora_info.php?id=1359","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=289"
"594632","Specie","Ficus carica","Fico comune","https://www.florae.it/?id=6692","http://www.actaplantarum.org/flora/flora_info.php?id=3244","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=293"
"39932711","Specie","Celtis aetnensis","Bagolaro dell'Etna","https://www.florae.it/?id=6691","http://www.actaplantarum.org/flora/flora_info.php?id=1824","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=286"
"591115","Specie","Celtis australis","Bagolaro comune","https://www.florae.it/?id=6690","http://www.actaplantarum.org/flora/flora_info.php?id=1825","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=285"
"5721442","Specie","Ulmus laevis","Olmo bianco","https://www.florae.it/?id=6689","http://www.actaplantarum.org/flora/flora_info.php?id=8041","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=283"
"594916","Specie","Ulmus glabra","Olmo di montagna","https://www.florae.it/?id=6687","http://www.actaplantarum.org/flora/flora_info.php?id=8040","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=279"
"5721404","Specie","Ulmus minor","Olmo comune","https://www.florae.it/?id=6686","http://www.actaplantarum.org/flora/flora_info.php?id=8042","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=280"
"72119","Genere","Celtis","Bagolaro","https://www.florae.it/?id=6685",NULL,NULL
"60724","Genere","Ulmus","Olmo","https://www.florae.it/?id=6684",NULL,NULL
"1151606","Specie","Quercus frainetto","Quercia farnetto","https://www.florae.it/?id=6679","http://www.actaplantarum.org/flora/flora_info.php?id=6290","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=275"
"1151340","Specie","Quercus pubescens","Quercia pubescente; Roverella","https://www.florae.it/?id=6676","http://www.actaplantarum.org/flora/flora_info.php?id=6295","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=274"
"46374030","Specie","Quercus virgiliana","Quercia virgiliana","https://www.florae.it/?id=6675",NULL,NULL
"1151670","Specie","Quercus dalechampii","Quercia di Dalechamps","https://www.florae.it/?id=6674","http://www.actaplantarum.org/flora/flora_info.php?id=6289","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=270"
"1151364","Specie","Quercus petraea","Quercia rovere; Rovere, Ischia","https://www.florae.it/?id=6673","http://www.actaplantarum.org/flora/flora_info.php?id=6294","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=9506"
"46326662","Specie","Quercus robur","Quercia comune; Farnia","https://www.florae.it/?id=6672","http://www.actaplantarum.org/flora/flora_info.php?id=6297","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=271"
"1151700","Specie","Quercus coccifera","Quercia coccifera; Embrusca","https://www.florae.it/?id=6670","http://www.actaplantarum.org/flora/flora_info.php?id=6286","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=262"
"1151689","Specie","Quercus congesta","Quercia congesta","https://www.florae.it/?id=6669","http://www.actaplantarum.org/flora/flora_info.php?id=6287","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=277"
"1151335","Specie","Quercus pyrenaica","Quercia dei Pirenei","https://www.florae.it/?id=6668","http://www.actaplantarum.org/flora/flora_info.php?id=6296","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=276"
"1297498","Specie","Quercus macrolepis","Quercia vallonea","https://www.florae.it/?id=6664","http://www.actaplantarum.org/flora/flora_info.php?id=6293","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=266"
"1151213","Specie","Quercus trojana","Quercia troiana","https://www.florae.it/?id=6663","http://www.actaplantarum.org/flora/flora_info.php?id=6302","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=265"
"1151719","Specie","Quercus cerris","Quercia cerro","https://www.florae.it/?id=6662","http://www.actaplantarum.org/flora/flora_info.php?id=6285","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=267"
"1151317","Specie","Quercus rubra","Quercia rossa","https://www.florae.it/?id=6661","http://www.actaplantarum.org/flora/flora_info.php?id=6300","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=261"
"1151536","Specie","Quercus ilex","Quercia leccio; Leccio; Elce","https://www.florae.it/?id=6660","http://www.actaplantarum.org/flora/flora_info.php?id=6292","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=263"
"1151259","Specie","Quercus suber","Quercia da sughero; Sughera","https://www.florae.it/?id=6659","http://www.actaplantarum.org/flora/flora_info.php?id=6301","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=264"
"1151676","Specie","Quercus crenata",NULL,"https://www.florae.it/?id=6658","http://www.actaplantarum.org/flora/flora_info.php?id=6288","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=0"
"32233","Genere","Quercus","Quercia","https://www.florae.it/?id=6656",NULL,NULL
"1148508","Specie","Castanea sativa","Castagno comune","https://www.florae.it/?id=6655","http://www.actaplantarum.org/flora/flora_info.php?id=1807","http://dryades.units.it/floritaly/index.php?procedure=taxon_page&tipo=all&id=260"
